   position        avgx        avgy        avgz        stdx        stdy        stdt        avgG    nemixrms    nemiyrms    nemirrms        rmax 
 8.500e-01 -4.583e-05  7.167e-05  8.500e-01  3.934e-03  3.898e-03  4.424e-10  1.684e+00  5.056e-06  4.646e-06  4.843e-06  1.091e-02 
 8.000e-01 -4.739e-05  7.437e-05  8.000e-01  4.070e-03  4.030e-03  4.419e-10  1.684e+00  5.081e-06  4.736e-06  4.901e-06  1.178e-02 
 7.500e-01 -4.894e-05  7.704e-05  7.500e-01  4.230e-03  4.187e-03  4.415e-10  1.684e+00  5.158e-06  4.879e-06  5.012e-06  1.266e-02 
 7.000e-01 -5.029e-05  7.981e-05  7.000e-01  4.414e-03  4.367e-03  4.411e-10  1.684e+00  6.033e-06  5.774e-06  5.167e-06  1.356e-02 
 6.500e-01 -5.084e-05  8.306e-05  6.500e-01  4.622e-03  4.568e-03  4.408e-10  1.684e+00  1.481e-05  1.468e-05  5.360e-06  1.448e-02 
 6.000e-01 -4.681e-05  8.868e-05  6.000e-01  4.850e-03  4.778e-03  4.404e-10  1.684e+00  8.584e-05  8.579e-05  5.579e-06  1.539e-02 
 5.500e-01 -2.540e-05  9.736e-05  5.500e-01  4.984e-03  4.866e-03  4.400e-10  1.684e+00  1.936e-04  1.936e-04  5.619e-06  1.594e-02 
 5.000e-01 -2.335e-06  9.406e-05  5.000e-01  4.773e-03  4.643e-03  4.397e-10  1.684e+00  8.212e-05  8.214e-05  5.622e-06  1.536e-02 
 4.500e-01  3.333e-06  8.502e-05  4.500e-01  4.446e-03  4.325e-03  4.393e-10  1.684e+00  1.383e-05  1.379e-05  5.818e-06  1.439e-02 
 4.000e-01  3.992e-06  7.539e-05  4.000e-01  4.135e-03  4.024e-03  4.390e-10  1.684e+00  6.570e-06  6.453e-06  6.031e-06  1.341e-02 
 3.500e-01  3.795e-06  6.419e-05  3.500e-01  3.848e-03  3.747e-03  4.386e-10  1.684e+00  6.264e-06  6.175e-06  6.219e-06  1.244e-02 
 3.000e-01  3.413e-06  4.747e-05  3.000e-01  3.587e-03  3.497e-03  4.383e-10  1.684e+00  6.390e-06  6.358e-06  6.374e-06  1.148e-02 
 2.500e-01  3.019e-06  1.180e-05  2.500e-01  3.354e-03  3.276e-03  4.380e-10  1.684e+00  6.474e-06  6.511e-06  6.492e-06  1.053e-02 
 2.000e-01  2.621e-06 -8.806e-05  2.000e-01  3.152e-03  3.085e-03  4.376e-10  1.684e+00  6.507e-06  6.633e-06  6.570e-06  9.557e-03 
 1.500e-01  2.225e-06 -3.953e-04  1.500e-01  2.981e-03  2.927e-03  4.373e-10  1.684e+00  6.484e-06  6.710e-06  6.596e-06  8.598e-03 
 1.300e-01  2.069e-06 -6.496e-04  1.300e-01  2.922e-03  2.874e-03  4.372e-10  1.684e+00  6.457e-06  6.720e-06  6.587e-06  8.480e-03 
 1.100e-01  1.914e-06 -1.033e-03  1.100e-01  2.868e-03  2.827e-03  4.371e-10  1.684e+00  6.420e-06  6.709e-06  6.563e-06  8.452e-03 
 9.000e-02  1.760e-06 -1.594e-03  9.000e-02  2.820e-03  2.786e-03  4.370e-10  1.684e+00  6.371e-06  6.675e-06  6.521e-06  8.559e-03 
 7.000e-02  1.607e-06 -2.382e-03  7.000e-02  2.777e-03  2.751e-03  4.369e-10  1.684e+00  6.310e-06  6.615e-06  6.460e-06  8.858e-03 
 5.000e-02  1.455e-06 -3.449e-03  5.000e-02  2.740e-03  2.723e-03  4.368e-10  1.684e+00  6.235e-06  6.526e-06  6.379e-06  9.419e-03 
 3.000e-02  1.304e-06 -4.836e-03  3.000e-02  2.709e-03  2.700e-03  4.366e-10  1.684e+00  6.147e-06  6.406e-06  6.275e-06  1.064e-02 
 1.000e-02  1.153e-06 -6.577e-03  1.000e-02  2.684e-03  2.684e-03  4.365e-10  1.684e+00  6.044e-06  6.257e-06  6.149e-06  1.232e-02 
 1.633e+00  2.127e-05 -7.121e-03  1.633e+00  2.695e-03  2.621e-03  4.425e-10  1.684e+00  6.276e-06  5.807e-06  6.037e-06  1.312e-02 
 1.600e+00  8.525e-07 -4.643e-03  1.600e+00  2.653e-03  2.653e-03  4.363e-10  1.684e+00  5.796e-06  5.583e-06  5.688e-06  1.029e-02 
 1.550e+00  4.843e-07 -1.873e-03  1.550e+00  2.650e-03  2.645e-03  4.360e-10  1.684e+00  5.447e-06  5.109e-06  5.275e-06  7.621e-03 
 1.500e+00  1.170e-07 -6.365e-04  1.500e+00  2.685e-03  2.676e-03  4.358e-10  1.684e+00  5.102e-06  4.660e-06  4.876e-06  6.557e-03 
 1.450e+00 -2.498e-07 -1.944e-04  1.450e+00  2.757e-03  2.747e-03  4.355e-10  1.684e+00  4.825e-06  4.335e-06  4.573e-06  6.398e-03 
 1.400e+00 -6.223e-07 -5.630e-05  1.400e+00  2.863e-03  2.854e-03  4.353e-10  1.684e+00  4.686e-06  4.205e-06  4.439e-06  6.531e-03 
 1.350e+00 -1.010e-06 -1.555e-05  1.350e+00  3.005e-03  2.997e-03  4.350e-10  1.684e+00  4.775e-06  4.351e-06  4.520e-06  6.787e-03 
 1.250e+00 -1.706e-06 -5.604e-07  1.250e+00  3.387e-03  3.380e-03  4.346e-10  1.684e+00  1.964e-05  1.954e-05  5.269e-06  7.489e-03 
 1.200e+00 -1.847e-06  5.010e-07  1.200e+00  3.595e-03  3.588e-03  4.344e-10  1.684e+00  8.953e-05  8.947e-05  5.856e-06  7.848e-03 
 1.150e+00 -1.607e-06  1.050e-06  1.150e+00  3.615e-03  3.610e-03  4.341e-10  1.684e+00  8.903e-05  8.895e-05  6.608e-06  7.772e-03 
 1.050e+00 -1.256e-06  9.009e-07  1.050e+00  3.295e-03  3.293e-03  4.337e-10  1.684e+00  8.519e-06  8.415e-06  7.779e-06  6.785e-03 
 9.500e-01 -1.060e-06  4.830e-07  9.500e-01  3.077e-03  3.075e-03  4.334e-10  1.684e+00  8.575e-06  8.484e-06  8.529e-06  6.040e-03 
 9.000e-01 -9.562e-07  2.710e-07  9.000e-01  3.021e-03  3.019e-03  4.332e-10  1.684e+00  8.737e-06  8.639e-06  8.688e-06  5.790e-03 
 8.500e-01 -8.481e-07  5.991e-08  8.500e-01  3.001e-03  3.000e-03  4.331e-10  1.684e+00  8.736e-06  8.632e-06  8.684e-06  5.601e-03 
 8.000e-01 -7.354e-07 -1.495e-07  8.000e-01  3.019e-03  3.018e-03  4.329e-10  1.684e+00  8.572e-06  8.463e-06  8.517e-06  5.814e-03 
 7.500e-01 -6.167e-07 -3.573e-07  7.500e-01  3.074e-03  3.073e-03  4.328e-10  1.684e+00  8.251e-06  8.137e-06  8.194e-06  6.177e-03 
 7.000e-01 -4.920e-07 -5.598e-07  7.000e-01  3.164e-03  3.163e-03  4.326e-10  1.684e+00  7.788e-06  7.670e-06  7.729e-06  6.624e-03 
 6.500e-01 -3.617e-07 -7.559e-07  6.500e-01  3.288e-03  3.287e-03  4.325e-10  1.684e+00  7.201e-06  7.082e-06  7.141e-06  7.138e-03 
 6.000e-01 -2.272e-07 -9.454e-07  6.000e-01  3.445e-03  3.444e-03  4.324e-10  1.684e+00  6.514e-06  6.397e-06  6.455e-06  7.707e-03 
