       x [in]         y [in]         z [in]    Bx [Vs/m^2]    By [Vs/m^2]    Bz [Vs/m^2]  
     -0.84058      -0.670526       -19.2984   2.06397e-022  -2.39317e-005   1.70981e-005
     -0.84058      -0.670526       -19.1952  -1.15377e-022  -2.02733e-005   1.78401e-005
     -0.84058      -0.670526        -19.092   1.38153e-022  -1.67738e-005   1.66233e-005
     -0.84058      -0.670526       -18.9889  -2.95416e-022  -1.38165e-005   1.38263e-005
     -0.84058      -0.670526       -18.8857   3.47023e-022  -1.16058e-005   9.82284e-006
     -0.84058      -0.670526       -18.7826   3.07786e-022  -1.02634e-005   5.07348e-006
     -0.84058      -0.670526       -18.6794              0  -9.76596e-006   3.72862e-022
     -0.84058      -0.567368       -20.6394              0  -1.15819e-005              0
     -0.84058      -0.567368       -20.5363  -5.07839e-022  -1.21729e-005  -6.13637e-006
     -0.84058      -0.567368       -20.4331              0  -1.38741e-005  -1.18948e-005
     -0.84058      -0.567368       -20.3299              0   -1.6623e-005   -1.6783e-005
     -0.84058      -0.567368       -20.2268  -2.26584e-022  -2.03682e-005  -2.03761e-005
     -0.84058      -0.567368       -20.1236              0  -2.47857e-005  -2.19454e-005
     -0.84058      -0.567368       -20.0205              0  -2.94859e-005  -2.12461e-005
     -0.84058      -0.567368       -19.9173  -9.05572e-023  -3.39986e-005  -1.78242e-005
     -0.84058      -0.567368       -19.8142              0  -3.73511e-005  -1.18514e-005
     -0.84058      -0.567368        -19.711  -3.63203e-023  -3.92931e-005  -4.18344e-006
     -0.84058      -0.567368       -19.6078  -1.53868e-022  -3.92571e-005   4.17134e-006
     -0.84058      -0.567368       -19.5047              0  -3.73857e-005   1.19283e-005
     -0.84058      -0.567368       -19.4015  -4.74281e-023  -3.39214e-005   1.78458e-005
     -0.84058      -0.567368       -19.2984   3.36309e-023  -2.96136e-005   2.12628e-005
     -0.84058      -0.567368       -19.1952  -2.02501e-022  -2.48368e-005   2.20266e-005
     -0.84058      -0.567368        -19.092  -2.17932e-022  -2.03414e-005   2.03669e-005
     -0.84058      -0.567368       -18.9889  -5.05413e-022  -1.66193e-005   1.67772e-005
     -0.84058      -0.567368       -18.8857              0  -1.38858e-005    1.1834e-005
     -0.84058      -0.567368       -18.7826    1.5534e-022  -1.21331e-005     6.134e-006
     -0.84058      -0.567368       -18.6794  -3.68829e-022  -1.16474e-005              0
     -0.84058      -0.464211       -20.6394              0  -1.21923e-005              0
     -0.84058      -0.464211       -20.5363  -1.59415e-022  -1.28656e-005  -7.30977e-006
     -0.84058      -0.464211       -20.4331   2.39288e-022  -1.47386e-005  -1.42505e-005
     -0.84058      -0.464211       -20.3299  -8.99858e-023  -1.78298e-005  -2.02831e-005
     -0.84058      -0.464211       -20.2268   2.00637e-022  -2.20072e-005  -2.47628e-005
     -0.84058      -0.464211       -20.1236  -6.20255e-023   -2.6979e-005  -2.70219e-005
     -0.84058      -0.464211       -20.0205              0  -3.23736e-005  -2.63868e-005
     -0.84058      -0.464211       -19.9173      2.44e-022   -3.7447e-005  -2.21792e-005
     -0.84058      -0.464211       -19.8142   -2.1496e-022  -4.14237e-005  -1.48398e-005
     -0.84058      -0.464211        -19.711  -6.74805e-022  -4.37581e-005  -5.32966e-006
     -0.84058      -0.464211       -19.6078   6.47162e-022  -4.37172e-005   5.22515e-006
     -0.84058      -0.464211       -19.5047  -8.94129e-022  -4.14346e-005   1.48973e-005
     -0.84058      -0.464211       -19.4015              0  -3.74664e-005   2.22266e-005
     -0.84058      -0.464211       -19.2984  -3.33164e-023  -3.23951e-005   2.63166e-005
     -0.84058      -0.464211       -19.1952              0  -2.71195e-005   2.70098e-005
     -0.84058      -0.464211        -19.092   2.32958e-022  -2.19763e-005   2.48057e-005
     -0.84058      -0.464211       -18.9889              0  -1.78571e-005    2.0257e-005
     -0.84058      -0.464211       -18.8857   3.43627e-022  -1.47493e-005    1.4234e-005
     -0.84058      -0.464211       -18.7826  -1.46846e-022  -1.28639e-005   7.32314e-006
     -0.84058      -0.464211       -18.6794              0  -1.22833e-005              0
     -0.84058      -0.361053       -20.6394              0  -1.14994e-005              0
     -0.84058      -0.361053       -20.5363   2.86227e-022  -1.21467e-005  -8.56634e-006
     -0.84058      -0.361053       -20.4331  -1.33935e-022  -1.40211e-005  -1.67709e-005
     -0.84058      -0.361053       -20.3299  -9.45399e-023  -1.70768e-005  -2.39466e-005
     -0.84058      -0.361053       -20.2268   1.73242e-022   -2.1254e-005  -2.94988e-005
     -0.84058      -0.361053       -20.1236              0  -2.63084e-005  -3.23668e-005
     -0.84058      -0.361053       -20.0205              0  -3.17583e-005  -3.17782e-005
     -0.84058      -0.361053       -19.9173              0  -3.68207e-005  -2.68477e-005
